sample	EC50	IC50	Amax	Activity_area
COLO741_SKIN	8.618299106	7.229937077	-52.20883942	0.9611
CORL105_LUNG	0.53757745	1.692961574	-62.86543274	1.1257
CORL23_LUNG	NA	8	0.138689622	0.03604
COV318_OVARY	NA	8	5.764453411	0.05132
COV504_OVARY	8.989180119	8	-36.2047348	0.258
DAOY_CENTRAL_NERVOUS_SYSTEM	NA	8	-3.453150511	0.2287
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	2.569366217	8	-22.91773987	0.3955
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.538102608	8	-28.93160629	0.473
DETROIT562_UPPER_AERODIGESTIVE_TRACT	0.959799469	8	-45.0917244	0.8498
DKMG_CENTRAL_NERVOUS_SYSTEM	9.235823084	8	-27.54204559	0.1756
DMS114_LUNG	NA	8	1.516382217	0.4546
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	11.54635715	0.9251
DOV13_OVARY	NA	8	2.141959429	0.04386
DU145_PROSTATE	2.174155951	5.400847912	-55.74924088	0.9805
DV90_LUNG	NA	8	-42.60942459	1.4945
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	3.653625965	0.3605
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	-3.56028223	0.2757
EBC1_LUNG	NA	8	-5.432577133	0.2728
EFE184_ENDOMETRIUM	0.456324488	8	-30.59578133	0.5729
EFM19_BREAST	NA	8	1.025663733	0.09867
EFO21_OVARY	4.168848515	8	-35.66239166	0.463
EFO27_OVARY	0.498583347	8	-48.38506699	0.8427
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.849429867	8	-37.23640442	0.8905
EN_ENDOMETRIUM	NA	8	-0.486901253	0
ES2_OVARY	NA	8	0.407657593	0.09704
ESS1_ENDOMETRIUM	8.243766737	8	-45.11304474	0.6877
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.356070042	8	-42.0100975	0.6618
FADU_UPPER_AERODIGESTIVE_TRACT	0.767408073	1.640679717	-68.01077271	1.5452
FU97_STOMACH	0.985450149	8	-30.33570099	0.3636
FUOV1_OVARY	8.502243047	8	-35.64892197	0.8677
G361_SKIN	2.433682442	4.410532475	-52.41119385	0.996
G401_SOFT_TISSUE	3.924662113	8	-24.77778625	0.3828
G402_SOFT_TISSUE	NA	8	5.267155647	0
GAMG_CENTRAL_NERVOUS_SYSTEM	NA	8	-1.541104436	0.1358
GB1_CENTRAL_NERVOUS_SYSTEM	2.154639244	8	-33.52809525	0.4303
GCIY_STOMACH	8.908105721	8	-42.60539246	0.9732
GCT_SOFT_TISSUE	8.169985783	8	-41.26877975	0.6055
GI1_CENTRAL_NERVOUS_SYSTEM	NA	8	7.054241657	0.1787
GLC82_LUNG	0.640978873	8	-27.85054779	0.6685
GMS10_CENTRAL_NERVOUS_SYSTEM	NA	8	-2.606539726	0.1201
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	0.846624851	0.3789
H4_CENTRAL_NERVOUS_SYSTEM	2.658244133	8	-22.44680595	0.2662
HARA_LUNG	1.001384735	8	-44.40664673	0.8434
HCC1187_BREAST	NA	8	-5.974428654	0.1981
HCC1395_BREAST	8.338648497	8	-33.78575516	0.5515
HCC15_LUNG	NA	8	-3.865206242	0.3449
HCC1569_BREAST	NA	8	-19.11942291	0.1893
HCC1806_BREAST	1.954791307	2.15597558	-68.43061829	2.1
HCC1954_BREAST	1.433703661	5.570298195	-52.21885681	0.8402
HCC2935_LUNG	0.183143467	0.280773968	-79.92745972	2.6857
HCC4006_LUNG	0.110252991	0.124252401	-94.32579803	3.7373
HCC44_LUNG	8.705939726	8	-19.15372086	0.1511
HCC56_LARGE_INTESTINE	0.460833997	8	-20.96335983	0.2732
HCC70_BREAST	NA	8	5.798483372	0.3408
HCC78_LUNG	NA	8	-1.001159549	0.02019
HCC827_LUNG	0.029334972	0.038917925	-85.47996521	4.4132
HCT116_LARGE_INTESTINE	NA	8	-1.00238061	0.2184
HCT15_LARGE_INTESTINE	8.169568807	8	-49.49138641	0.4596
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.82346797	4.557374477	-70.69909668	0.8709
HDQP1_BREAST	0.154859424	8	-42.78325272	1.6374
HEC151_ENDOMETRIUM	0.105709143	8	-46.57953262	2.2608
HEC1A_ENDOMETRIUM	NA	8	11.24893761	0.1217
HEC1B_ENDOMETRIUM	7.174179077	8	-39.54808044	1.0704
HEC251_ENDOMETRIUM	0.438649237	8	-33.53871918	0.7614
HEC265_ENDOMETRIUM	NA	8	9.098386765	0
HEC59_ENDOMETRIUM	NA	8	-1.051799655	0.05487
HEC6_ENDOMETRIUM	NA	8	4.139275074	0.7348
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	-2.070747852	0.4473
HEP3B217_LIVER	NA	8	3.308411837	0.4963
HEPG2_LIVER	8.269482414	8	-17.8189888	0.1433
HEYA8_OVARY	8.726591628	8	-31.88303947	0.2561
HGC27_STOMACH	8.572992371	8	-29.61772537	0.2264
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	-7.221300602	0.4083
HLE_LIVER	9.287954338	8	-30.2834053	0.3112
HLF_LIVER	8.315647428	8	-26.77819061	0.5841
HMC18_BREAST	NA	8	-1.763302565	0.3479
HMCB_SKIN	2.144095898	3.607230186	-64.24649811	1.0646
HOS_BONE	NA	8	0.995820701	0.2068
HPAC_PANCREAS	NA	8	-32.80316544	0.7557
HPAFII_PANCREAS	1.347590685	8	-37.12796783	0.965
HS229T_FIBROBLAST	NA	8	1.746781588	0.00911
HS294T_SKIN	3.169720173	8	-27.09840012	0.6342
HS578T_BREAST	NA	8	1.417373419	0.05836
HS683_CENTRAL_NERVOUS_SYSTEM	NA	8	-1.077103496	0.07119
HS695T_SKIN	NA	8	7.92060709	0.0222
HS729_SOFT_TISSUE	8.404402608	8	-13.1375761	0.1266
HS739T_FIBROBLAST	NA	8	0.772566915	0.2265
HS746T_STOMACH	9.307457919	8	-32.81226349	0.3248
HS766T_PANCREAS	2.112795353	8	-31.36722374	0.6797
HS840T_FIBROBLAST	8.47388778	8	-37.90393066	0.3236
HS852T_SKIN	8.739866186	8	-20.69029617	0.2035
HS895T_FIBROBLAST	8.191189463	8	-36.90898514	0.4755
HS936T_SKIN	NA	8	0.169800982	0
HS939T_SKIN	NA	8	4.455478668	0.1288
HS944T_SKIN	8.070107721	8	-40.83175659	0.3722
HSC2_UPPER_AERODIGESTIVE_TRACT	1.017567992	8	-31.69483566	0.6125
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	11.23945427	0.6185
HT1080_SOFT_TISSUE	NA	8	0.837718129	0.02918
HT1197_URINARY_TRACT	0.079169571	8	-9.233660698	0.2642
HT1376_URINARY_TRACT	1.896998405	2.53105402	-61.28145599	1.4249
HT144_SKIN	9.204066346	8	-44.16248322	0.5338
HT29_LARGE_INTESTINE	NA	8	3.043567657	0
HUCCT1_BILIARY_TRACT	8.800328501	8	-41.22437286	0.4576
HUH1_LIVER	8.384017464	8	-27.84748268	0.4804
HUPT3_PANCREAS	NA	8	-4.782395363	0.2869
HUPT4_PANCREAS	8.707663046	4.255131245	-63.82904053	1.4576
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	23.24990654	0.7256
IALM_LUNG	NA	8	10.36487675	0.3108
IGR37_SKIN	NA	8	-0.22112982	0.3618
IGR39_SKIN	NA	8	7.474345207	0.4376
IGROV1_OVARY	0.499017566	8	-47.74693298	1.1493
IM95_STOMACH	NA	8	1.075746417	2.1284
IMR32_AUTONOMIC_GANGLIA	NA	8	6.709219933	0
IPC298_SKIN	8.472662667	6.998702526	-57.99394989	0.5104
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM	NA	8	-54.85901642	1.7752
ISTMES1_PLEURA	NA	8	-5.236360073	0.2581
ISTMES2_PLEURA	8.323075691	8	-31.40408134	0.3595
J82_URINARY_TRACT	NA	8	-1.915980697	0.3626
JHH2_LIVER	0.266114146	8	-26.36402893	0.4617
JHH4_LIVER	8.008284116	8	-25.6199913	0.4773
JHH5_LIVER	0.932588458	1.078194857	-83.28316498	1.4192
JHH6_LIVER	NA	8	-0.201547593	0.01655
JHH7_LIVER	2.629088402	8	-48.23942566	0.6282
JHOS2_OVARY	NA	8	5.917158604	0.1802
JHOS4_OVARY	0.184322223	8	-41.32209015	0.9895
JHUEM2_ENDOMETRIUM	0.134762362	8	-9.778969765	0.1292
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	-4.98126936	0.7337
JMSU1_URINARY_TRACT	2.078505993	3.054365873	-69.34886932	1.0426
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.332445858	6.090600491	-60.61600876	1.1054
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.03568697	3.97213912	-70.54724884	1.8084
K029AX_SKIN	NA	8	11.61962223	0.03277
KALS1_CENTRAL_NERVOUS_SYSTEM	NA	8	-2.92738843	0.3822
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	-5.243414402	0
KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	17.68476868	0.01967
KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	-0.713127673	0.7388
KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.700849533	8	-17.38387871	1.0277
KCIMOH1_PANCREAS	1.088992715	1.730164289	-69.29885864	1.3204
KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.342782497	8	-24.29757309	0.6935
KE39_STOMACH	8.022922601	8	-49.80495834	1.0481
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.759354042	5.710309505	-67.54845428	0.8743
KELLY_AUTONOMIC_GANGLIA	NA	8	-0.467626303	0.2575
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	-48.95952988	0.9725
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.960442543	8	-25.07034492	1.043
KLE_ENDOMETRIUM	NA	8	-11.91228104	0.7291
KMBC2_URINARY_TRACT	8.161505439	8	-21.87475586	0.1784
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.723270893	8	-20.31590271	0.2421
KMRC1_KIDNEY	8.608978342	8	-38.10947037	0.8457
KMRC2_KIDNEY	NA	8	-32.69772339	0.505
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	7.707417011	0.2748
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	2.539219856	1.0481
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	-13.03807068	1.1015
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	-17.27235603	0.2969
KNS42_CENTRAL_NERVOUS_SYSTEM	NA	8	12.88672829	0.0282
KNS60_CENTRAL_NERVOUS_SYSTEM	NA	8	-23.23505783	0.161
KNS62_LUNG	NA	8	-0.806124747	0.1777
KNS81_CENTRAL_NERVOUS_SYSTEM	NA	8	-1.618371606	0.5309
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.034002126	8	-45.95769119	0.6706
KP1N_PANCREAS	NA	8	-0.561342061	0.02276
KP1NL_PANCREAS	NA	8	3.639805079	0.01012
KP2_PANCREAS	NA	8	-3.413075686	0.1607
KP3_PANCREAS	8.561102973	8	-32.90578079	0.2328
KP4_PANCREAS	3.964049101	8	-25.5633831	0.21
KPNSI9S_AUTONOMIC_GANGLIA	NA	8	-4.926137447	0.8298
KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.984972715	5.065102577	-64.64276886	0.5995
KURAMOCHI_OVARY	4.751506329	8	-39.75166702	0.9836
KYM1_SOFT_TISSUE	NA	8	6.208180428	0.2845
KYSE140_OESOPHAGUS	0.435505867	0.617637634	-83.31472778	2.1105
KYSE150_OESOPHAGUS	2.182477951	5.205513954	-51.88621902	0.7703
KYSE180_OESOPHAGUS	1.048347831	1.630503893	-74.50653839	1.55
KYSE30_OESOPHAGUS	0.196845695	8	-21.82675362	0.9731
KYSE410_OESOPHAGUS	4.46668911	4.905516624	-64.84378052	0.4664
KYSE450_OESOPHAGUS	0.696187854	1.401028633	-68.02490234	1.4667
KYSE510_OESOPHAGUS	NA	8	2.456861496	0.3023
KYSE520_OESOPHAGUS	0.399792582	2.151475906	-55.1304245	1.2624
KYSE70_OESOPHAGUS	3.321890354	2.744313717	-72.84970093	1.3994
L33_PANCREAS	8	4.269798279	-62.18257904	1.0717
L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	-27.55168533	1.0643
L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.154958944	8	-34.42297363	0.3904
LC1SQSF_LUNG	0.241958484	8	-26.11556625	0.7528
LCLC103H_LUNG	NA	8	-0.330886483	0.26
LN18_CENTRAL_NERVOUS_SYSTEM	NA	8	-4.54087925	0.3233
LN229_CENTRAL_NERVOUS_SYSTEM	8.855284236	8	-33.85599136	0.4374
LOUNH91_LUNG	8.403948086	8	-41.24061584	1.0477
LOXIMVI_SKIN	NA	8	0.875269353	0.09979
LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	18.66890526	0
LS123_LARGE_INTESTINE	0.816784859	8	-25.41209602	0.4793
LS411N_LARGE_INTESTINE	NA	8	1.787877083	0.3804
LS513_LARGE_INTESTINE	NA	8	-13.333004	1.5967
LU99_LUNG	8.740283209	5.644115925	-65.39385986	0.8666
LUDLU1_LUNG	0.336647272	1.652492166	-63.64346695	1.5519
M059J_CENTRAL_NERVOUS_SYSTEM	NA	8	0.015875855	0.0725
MALME3M_SKIN	7.80415535	8	-26.98543549	0.2374
MDAMB157_BREAST	0.295364827	8	-32.06905365	1.4358
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	11.87233639	0.0005163
MCAS_OVARY	NA	8	-2.618792534	0.05463
MCF7_BREAST	NA	8	-34.25540924	0.3573
MDAMB157_BREAST	NA	8	6.50525856	0.2684
MDAMB175VII_BREAST	1.857569337	2.391020775	-77.70800018	1.1964
MDAMB415_BREAST	NA	8	4.483168602	0.03477
MDAMB435S_SKIN	NA	8	0.309809119	0.2052
MDAMB436_BREAST	NA	8	-8.276685715	0.4275
MDAMB453_BREAST	NA	8	-3.528245211	0.1473
MDAMB468_BREAST	NA	1.153329258	-70.51806641	1.8648
MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	4.850940228	1.239
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.772012469	8	-31.88332748	0.3546
MELHO_SKIN	8.067915748	8	-10.18223858	0.49
MESSA_SOFT_TISSUE	NA	8	0.423126101	0
MEWO_SKIN	NA	8	15.62043762	0.002914
MFE280_ENDOMETRIUM	9.113956121	8	-46.28527451	0.9432
MFE296_ENDOMETRIUM	3.721626043	8	-46.88686371	0.6176
MFE319_ENDOMETRIUM	0.211277753	1.622308969	-61.84603882	1.5436
MG63_BONE	6.081908703	8	-18.36063004	0.1603
MHHES1_BONE	8.862871908	7.838871002	-50.57201004	1.1808
MIAPACA2_PANCREAS	NA	8	1.466053963	0.07553
MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.392301083	2.840651989	-87.00595093	1.1327
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	17.44677544	0.007088
MKN45_STOMACH	NA	8	-0.816318393	0.18
MKN7_STOMACH	NA	8	-0.601129472	0.3438
MKN74_STOMACH	8.617574259	8	-29.19649696	0.3761
MOGGCCM_CENTRAL_NERVOUS_SYSTEM	NA	8	-3.036689997	0
MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	26.67569542	0.3782
MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	-8.178717613	1.5452
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.854851007	2.667337894	-78.23864746	2.0672
MORCPR_LUNG	NA	8	-4.80092001	0.2041
MPP89_PLEURA	NA	8	-1.212611556	0.2684
MSTO211H_PLEURA	NA	8	-8.648255348	0.3184
NCIH1048_LUNG	NA	8	-2.104015589	0.662
NCIH1092_LUNG	NA	8	14.14727783	0.06946
NCIH1155_LUNG	1.82881856	8	-35.96055984	0.6025
NCIH1184_LUNG	NA	8	44.99138641	0.67
NCIH1299_LUNG	8.627411365	8	-40.98887634	0.7121
NCIH1339_LUNG	NA	8	4.081685543	0.1102
NCIH1341_LUNG	NA	8	-37.31576538	1.1779
NCIH1355_LUNG	1.769219756	5.519361496	-53.9445076	1.1241
NCIH1373_LUNG	NA	8	-5.396407127	0.2836
NCIH1563_LUNG	NA	8	0.018953906	0.1776
NCIH1568_LUNG	8.474329607	5.748595715	-54.209095	1.6905
NCIH1573_LUNG	0.258114487	8	-38.71010208	1.4163
NCIH1581_LUNG	NA	8	14.64409828	0.04829
NCIH1648_LUNG	0.522349596	8	-30.90703392	0.6008
NCIH1650_LUNG	0.064510889	8	-42.25717163	1.3557
NCIH1651_LUNG	9.119662689	8	-35.42674255	0.2825
NCIH1666_LUNG	0.195461199	0.203968033	-76.51303864	2.2235
NCIH1693_LUNG	0.239701703	8	-47.1165123	1.42
NCIH1694_LUNG	NA	8	14.34458733	0.1312
NCIH1703_LUNG	0.22272554	8	-21.01796913	0.5767
NCIH1792_LUNG	2.615903139	8	-20.43450165	0.2512
NCIH1793_LUNG	0.330665171	8	-36.8098259	0.4024
NCIH1869_LUNG	NA	3.332826606	-57.39881897	1.4395
NCIH1915_LUNG	8.861013452	8	-33.73491287	0.4244
NCIH1944_LUNG	1.561166406	8	-46.7185936	0.3705
NCIH1975_LUNG	8.819179207	8	-44.45196533	0.4621
NCIH2009_LUNG	0.833611012	8	-33.84302521	0.6598
NCIH2023_LUNG	8.328229462	8	-21.09889412	0.1764
NCIH2030_LUNG	8.493114644	6.153043747	-54.41020203	1.2982
NCIH2052_PLEURA	NA	8	-4.099585056	0.9973
NCIH2085_LUNG	NA	8	-6.610373497	0.4553
NCIH2087_LUNG	3.592051744	8	-32.86921692	0.4709
NCIH211_LUNG	NA	8	2.23273325	0.1121
NCIH2122_LUNG	8.359945088	5.234381199	-64.62232208	0.8959
NCIH2170_LUNG	1.180775642	1.564355135	-82.49170685	2.0307
NCIH2172_LUNG	NA	8	-19.36130714	0.198
NCIH2228_LUNG	2.568438292	8	-44.19145966	0.8593
NCIH226_LUNG	NA	8	-0.334085912	0
NCIH2286_LUNG	8.12688574	6.048270702	-58.48260498	1.2231
NCIH23_LUNG	NA	8	5.463197708	0
NCIH2444_LUNG	9.085799512	8	-33.21539307	0.4111
NCIH2452_PLEURA	NA	8	-0.467184961	0.7658
NCIH28_PLEURA	0.068333998	1.191120028	-54.15839386	1.7382
NCIH322_LUNG	0.483234793	0.644645035	-84.20258331	1.9746
NCIH3255_LUNG	0.074169464	0.075178206	-94.33956909	4.0635
NCIH358_LUNG	1.096916676	2.132719517	-67.59581757	1.6179
NCIH441_LUNG	3.365048885	8	-28.69470215	0.3066
NCIH460_LUNG	NA	8	0.288564861	0.06994
NCIH520_LUNG	NA	8	0.738982618	0
NCIH522_LUNG	9.156580894	8	-27.68039894	0.4055
NCIH647_LUNG	NA	8	-0.878604352	0.2912
NCIH650_LUNG	3.635783911	8	-14.86487103	0.04207
NCIH661_LUNG	NA	8	-6.693270206	0.09786
NCIH727_LUNG	NA	8	-3.71881938	0.3191
NCIH747_LARGE_INTESTINE	0.52594614	8	-27.36982727	0.8585
NCIH810_LUNG	NA	8	5.218783855	0.1621
NCIN87_STOMACH	2.399151325	3.197930098	-62.45911407	0.9619
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.805310369	2.788766623	-56.00983429	1.5548
NIHOVCAR3_OVARY	NA	8	-44.66892624	1.1932
NUGC3_STOMACH	0.398794264	0.738386512	-64.20761871	1.82
NUGC4_STOMACH	0.121240623	0.258506	-79.0364151	2.6443
OC314_OVARY	8.30628579	8	-28.73691559	0.2903
OC315_OVARY	8.867764664	8	-21.74606514	0.3616
OC316_OVARY	2.580581188	8	-22.72107315	0.3731
OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	-2.656908035	0.02743
OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.912682712	8	-22.39680672	1.2901
OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	-5.271178246	0.05276
OCUM1_STOMACH	NA	8	2.981343269	0.01577
OE21_OESOPHAGUS	0.186184317	0.270831227	-78.42411804	2.3549
OE33_OESOPHAGUS	8.63796029	6.558083057	-55.61484909	0.842
ONCODG1_OVARY	8.295159059	7.971845627	-50.06347656	1.0886
ONS76_CENTRAL_NERVOUS_SYSTEM	NA	8	0.510847032	0.06366
OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	-7.509171009	0.8885
OV90_OVARY	NA	8	8.749404907	0
OVCAR4_OVARY	NA	8	-10.78780365	0.3913
OVCAR8_OVARY	8.05631073	8	-40.58952713	0.532
OVMANA_OVARY	1.4950701	8	-12.85731602	0.03859
OVSAHO_OVARY	6.135296345	8	-22.47266769	0.1429
OVTOKO_OVARY	8.226384622	8	-44.21923828	0.8693
P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.210423533	8	-36.84268188	0.7472
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	1.996513724	0.8033
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	7.142673492	0
PANC0203_PANCREAS	0.91822058	4.219331264	-50.0255127	1.0194
PANC0327_PANCREAS	8.118757178	8	-30.58411598	0.4879
PANC0403_PANCREAS	2.259186983	8	-49.48947144	0.494
PANC1005_PANCREAS	NA	8	-0.612631142	0.5347
PATU8902_PANCREAS	8.633975803	8	-19.22405052	0.0789
PC14_LUNG	0.013407791	0.064618558	-86.95714569	3.7177
PC3_PROSTATE	8.28279928	8	-24.98353767	0.5852
PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	6.251271889	-51.41848755	1.171
PK1_PANCREAS	8.950259785	8	-45.75131989	0.5614
PK45H_PANCREAS	0.253063887	8	-16.27216721	0.3102
PK59_PANCREAS	2.529034138	8	-23.95049858	0.2714
PL45_PANCREAS	NA	8	-3.521238565	0.3004
PLCPRF5_LIVER	0.706856847	8	-32.87755585	0.3737
PSN1_PANCREAS	NA	8	-2.002505302	0.2199
QGP1_PANCREAS	1.22161305	8	-27.55322647	0.7446
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	5.978127956	0.218
RD_SOFT_TISSUE	NA	8	0.354377031	0.1262
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	4.517585754	0.1718
RERFGC1B_STOMACH	0.505811334	8	-27.13772392	0.4351
RERFLCAI_LUNG	3.556686878	8	-26.91756821	0.2999
RERFLCMS_LUNG	NA	8	6.808954716	0
